taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,organismQuantityType,organismQuantity,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate
KL_Cetacean_0000001,2023-04-11_Cetacean_HumanObservation_0003,2023/4/11,2023,4,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,18,individuals,15~20,able to georeference,WGS84,122.1194722,25.48286111,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:null},2023/4/11
KL_Cetacean_0000001,2023-04-11_Cetacean_HumanObservation_0004,2023/4/11,2023,4,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,15,individuals,10~20,able to georeference,WGS84,122.1305194,25.48231944,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:null},2023/4/11
KL_Cetacean_0000001,2023-04-11_Cetacean_HumanObservation_0005,2023/4/11,2023,4,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,15,individuals,10~20,able to georeference,WGS84,122.1180667,25.49746667,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:null},2023/4/11
KL_Cetacean_0000003,2023-07-11_Cetacean_HumanObservation_0006,2023/7/11,2023,7,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Delphinus,genus,真海豚,35,individuals,30~40,able to georeference,WGS84,121.8165833,25.20488889,0.000001,,研海生態顧問股份有限公司,,,,覓食；游走,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:null},2023/7/11
KL_Cetacean_0000001,2023-07-11_Cetacean_HumanObservation_0007,2023/7/11,2023,7,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,6,individuals,4~8,able to georeference,WGS84,121.8165833,25.20488889,0.000001,,研海生態顧問股份有限公司,,,,覓食；游走,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:null},2023/7/11
KL_Cetacean_0000007,2023-07-11_Cetacean_HumanObservation_0008,2023/7/11,2023,7,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Delphinidae,family,海豚科,2,individuals,2~2,able to georeference,WGS84,121.9373,25.32061667,0.000001,,研海生態顧問股份有限公司,,,,不知,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:null},2023/7/11
KL_Cetacean_0000001,2023-07-11_Cetacean_HumanObservation_0009,2023/7/11,2023,7,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,,individuals,無法判斷,able to georeference,WGS84,121.9995,25.3843,0.000001,,研海生態顧問股份有限公司,,,,不知,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:unknown},2023/7/11
KL_Cetacean_0000001,2023-07-11_Cetacean_HumanObservation_0010,2023/7/11,2023,7,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,1,individuals,1~1,able to georeference,WGS84,122.0999333,25.4663,0.000001,,研海生態顧問股份有限公司,,,,不知,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:unknown},2023/7/11
KL_Cetacean_0000005,2023-07-11_Cetacean_HumanObservation_0011,2023/7/11,2023,7,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Pseudorca crassidens,species,偽虎鯨,21,individuals,20~22,able to georeference,WGS84,122.0826111,25.47888889,0.000001,,研海生態顧問股份有限公司,,,,游走；社交,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:present},2023/7/11
KL_Cetacean_0000001,2023-07-11_Cetacean_HumanObservation_0012,2023/7/11,2023,7,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,9,individuals,8~10,able to georeference,WGS84,121.9648833,25.434,0.000001,,研海生態顧問股份有限公司,,,,繞圈徘徊；社交,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:present},2023/7/11
