x_axis,Avian_Lomolino,Avian_Asymp,Avian_Michaelis-Menten,BenthicInvertebrate_Lomolino,BenthicInvertebrate_Asymp,BenthicInvertebrate_Michaelis-Menten,Cetacean_Lomolino,Cetacean_Asymp,Cetacean_Michaelis-Menten,Fish_Lomolino,Fish_Asymp,Fish_Michaelis-Menten,Insect_Lomolino,Insect_Asymp,Insect_Michaelis-Menten,Plant_Lomolino,Plant_Asymp,Plant_Michaelis-Menten
40,275.9085560181499,251.5976713127845,260.33831364357957,,202.67785905329887,232.2329015150109,7.880533973691011,4.993512742667175,4.992646820561566,357.7947230447726,280.6789686681558,328.5083676549623,177.6632180250374,154.25928470309677,155.2924532360638,98.95919533626953,90.24750219495776,89.56244267036816
41,277.01179940318957,251.70247661851235,260.9430235400802,,202.79558243859114,233.2658047509334,7.935103074720455,4.993543461842375,4.997897755084869,358.8826254884192,280.6811717518512,329.1815760495008,179.31949299515057,154.68755273446922,156.0447298411009,99.2682666699799,90.25819329111174,89.6397427546486
42,278.0766771476866,251.7934128665703,261.52084817723176,,202.89816449362158,234.2568854187962,7.988376987101521,4.993567064064654,5.00290280685237,359.9267535104748,280.6828681417282,329.8245105980455,180.93674550456865,155.0810485063257,156.7671051517649,99.5681194279306,90.26722240497104,89.7133960334333
43,279.10530099562993,251.872315372063,262.07354153274906,,202.9875526639341,235.2086332269389,8.040412976873283,4.993585198174467,5.007678851485327,360.929764687074,280.6841743738159,330.43916849385374,182.5165921783788,155.4425952740653,157.46132719134866,99.85922924560298,90.27484789967333,89.7836546288953
44,280.0996246038675,251.940776579843,262.60270826038453,,203.06544391878808,236.12334411149212,8.091264584093627,4.993599131012437,5.01224125484979,361.8941027866849,280.68518018167293,331.0273750346675,184.06055202366127,155.77478706521526,158.12901033539282,100.1420371090283,90.2812879745645,89.85074794607716
45,281.0614584222614,252.00017820392867,263.1098192495335,,203.13331696688283,237.00313872801942,8.14098194171627,4.993609835920254,5.016604038198375,362.8220190380217,280.6859546607681,331.59080172666444,185.57005421094317,156.08000729107252,158.7716478449239,100.4169525907796,90.28672690885313,89.91488517514622
46,281.9924828953868,252.0517191138605,263.5962252789792,,203.1924603285646,237.84997886523385,8.189612060822272,4.993618060737885,5.020780022099627,363.71559089272415,280.68655101509626,332.13098214757,187.0464450854652,156.36044584721458,159.39062301524623,100.68435671972388,90.29132033465883,89.97625747003552
47,282.89426020542743,252.09643953081027,264.0631690316799,,203.243996797446,238.66568204819654,8.237199086403802,4.993624380047327,5.024780952267185,364.57673862212704,280.6870102121061,332.649325885981,188.49099449907536,156.61811482557326,159.98721911547875,100.94460453295243,90.29519969034011,90.03503985126864
48,283.76824474333677,252.13524202177916,264.5117956956219,,203.28890475582435,239.45193455978537,8.283784527296241,4.99362923531265,5.028617609889842,365.40724003571034,280.6873637970201,333.1471308236977,189.90490154117987,156.85486295080173,160.5626282691421,101.19802735102101,90.29847598153069,90.09139287286456
49,284.61579246813824,252.16890971559974,264.94316234113234,,203.32803674855663,240.21030307676702,8.329407463350243,4.993632965720469,5.032299908645005,366.20874356582465,280.6876360598806,333.62559398639826,191.28929973670756,157.0723888445132,161.11795940512226,101.44493481156931,90.30124295750487,90.14546408675689
50,285.43816929144276,252.19812210838407,265.35824623629844,,203.36213566800194,240.94224508943904,8.374104732510178,4.99363583187537,5.035836980233725,366.9827799274106,280.6878457041903,334.0858211536357,192.64526177015483,157.27225321255966,161.6542453905967,101.68561669132589,90.30357979376161,90.19738933285453
